foo,CR-Fairmount,CR-Fitchburg,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester
0,22.333333333333332,90.4,56.38333333333333,69.3,65.93333333333334,43.416666666666664,43.8,64.66666666666667,84.44166666666666,85.4
1,24.05,109.23333333333333,53.666666666666664,75.71666666666667,66.625,47.15,48.333333333333336,68.54166666666666,89.21666666666667,82.41666666666667
2,24.016666666666666,93.95,58.86666666666667,67.95,67.5,47.31666666666667,47.733333333333334,68.025,88.05,85.2
3,24.016666666666666,85.1,56.666666666666664,70.91666666666667,66.9,48.7,43.9,71.70833333333334,81.26666666666667,80.86666666666666
4,23.5,92.78333333333333,55.3,70.85,63.275000000000006,47.9,44.266666666666666,67.675,88.29166666666667,81.46666666666667
5,24.516666666666666,98.91666666666667,55.9,65.4,66.38333333333333,46.81666666666667,49.15,67.6,86.68333333333334,85.28333333333333
6,23.05,84.18333333333334,55.233333333333334,68.43333333333334,65.43333333333334,46.016666666666666,45.05,68.4,82.24166666666667,97.83333333333333
7,25.016666666666666,92.25,59.166666666666664,71.56666666666666,67.53333333333333,43.733333333333334,40.45,70.375,84.50833333333333,93.95
8,24.533333333333335,96.76666666666667,57.1,72.8,66.84166666666667,47.68333333333333,40.583333333333336,68.51666666666667,85.45,85.36666666666666
9,24.016666666666666,88.11666666666666,55.3,69.75,69.625,38.483333333333334,45.1,68.85833333333333,85.175,80.8
10,25.716666666666665,83.38333333333334,57.016666666666666,73.75,60.88333333333334,40.25,38.483333333333334,65.2,84.34166666666667,82.45
11,21.016666666666666,109.3,59.8,65.71666666666667,68.03333333333333,45.85,39.266666666666666,66.175,85.3,82.28333333333333
12,22.516666666666666,98.31666666666666,56.016666666666666,68.86666666666666,67.66666666666667,55.38333333333333,40.266666666666666,69.10833333333332,83.525,86.46666666666667
13,26.55,99.86666666666666,57.0,81.76666666666667,67.975,44.71666666666667,45.18333333333333,70.775,89.34166666666667,84.61666666666666
14,24.516666666666666,88.78333333333333,59.083333333333336,67.16666666666667,66.775,45.71666666666667,42.766666666666666,68.025,83.57499999999999,88.1
15,25.033333333333335,106.13333333333334,55.93333333333333,72.0,67.86666666666667,49.03333333333333,49.55,66.9,91.49166666666667,80.55
16,22.516666666666666,92.95,57.25,71.96666666666667,67.575,48.483333333333334,46.63333333333333,64.77499999999999,80.9,80.01666666666667
17,24.533333333333335,99.78333333333333,59.233333333333334,64.96666666666667,65.69166666666666,46.983333333333334,40.56666666666667,67.96666666666667,89.76666666666668,84.75
18,24.533333333333335,87.63333333333334,56.53333333333333,78.1,66.81666666666666,50.3,45.96666666666667,64.125,87.93333333333334,88.13333333333334
19,27.533333333333335,104.01666666666667,60.31666666666667,67.13333333333334,73.325,42.38333333333333,46.4,70.41666666666667,83.61666666666667,83.15
20,23.533333333333335,91.7,54.06666666666667,71.18333333333334,65.925,45.3,41.03333333333333,70.575,86.53333333333333,83.56666666666666
21,25.533333333333335,99.93333333333334,55.8,71.3,67.96666666666667,48.28333333333333,49.233333333333334,98.20833333333333,84.78333333333333,77.75
22,28.016666666666666,94.81666666666666,53.68333333333333,75.18333333333334,68.20833333333334,47.36666666666667,41.75,84.7,94.0,95.36666666666666
23,24.066666666666666,86.66666666666667,57.6,67.65,69.59166666666667,44.4,37.85,69.98333333333332,80.63333333333333,81.98333333333333
24,24.516666666666666,98.53333333333333,54.05,65.76666666666667,67.88333333333333,45.45,37.88333333333333,65.40833333333333,87.175,78.08333333333333
25,23.516666666666666,86.11666666666666,53.4,67.0,65.31666666666666,46.983333333333334,45.5,69.425,81.93333333333334,78.98333333333333
26,22.533333333333335,103.1,57.166666666666664,71.18333333333334,65.175,41.31666666666667,43.03333333333333,67.49166666666667,84.93333333333334,88.3
27,24.533333333333335,134.93333333333334,53.95,64.66666666666667,67.18333333333334,42.016666666666666,39.93333333333333,65.9,90.44166666666666,98.35
28,26.033333333333335,93.76666666666667,55.31666666666667,76.18333333333334,65.39166666666667,54.833333333333336,43.53333333333333,65.89166666666667,94.93333333333334,99.6
29,24.533333333333335,94.98333333333333,55.233333333333334,71.08333333333333,68.41666666666667,41.61666666666667,39.21666666666667,69.525,82.475,94.35
30,21.533333333333335,82.95,57.0,71.21666666666667,68.14166666666667,48.916666666666664,44.583333333333336,65.35,80.75833333333333,79.81666666666666
31,21.533333333333335,106.7,58.13333333333333,78.46666666666667,67.53333333333333,47.28333333333333,40.516666666666666,67.15833333333333,86.19999999999999,100.83333333333333
32,21.516666666666666,93.01666666666667,60.28333333333333,67.35,67.18333333333334,40.31666666666667,52.18333333333333,69.08333333333333,85.38333333333333,85.58333333333333
33,23.0,106.13333333333334,55.416666666666664,71.36666666666666,71.44166666666666,47.68333333333333,46.333333333333336,70.475,85.20833333333333,96.35
34,28.066666666666666,85.81666666666666,54.166666666666664,71.01666666666667,65.3,48.43333333333333,40.18333333333333,71.05,88.175,95.41666666666667
35,24.066666666666666,92.06666666666666,55.25,74.58333333333333,66.66666666666667,51.25,45.15,69.68333333333334,89.45833333333333,89.86666666666666
36,22.516666666666666,80.41666666666667,57.46666666666667,78.13333333333334,67.40833333333333,89.05,44.25,61.58333333333333,80.20833333333333,86.68333333333334
37,24.033333333333335,103.18333333333334,62.45,73.95,65.10833333333333,45.36666666666667,39.36666666666667,66.75833333333334,86.86666666666666,92.38333333333334
38,25.033333333333335,91.73333333333333,57.233333333333334,66.53333333333333,69.63333333333333,47.15,39.483333333333334,69.80833333333334,85.67500000000001,80.76666666666667
39,23.65,98.13333333333334,54.55,67.25,67.04166666666667,44.166666666666664,42.733333333333334,69.29166666666667,87.04166666666667,86.61666666666666
40,26.533333333333335,95.2,69.96666666666667,70.78333333333333,69.17500000000001,40.38333333333333,39.43333333333333,67.975,88.59166666666667,102.85
41,27.016666666666666,94.36666666666666,63.483333333333334,66.31666666666666,66.35833333333333,42.96666666666667,42.983333333333334,66.23333333333333,96.43333333333334,97.45
42,26.533333333333335,87.35,90.96666666666667,68.31666666666666,68.78333333333333,41.93333333333333,36.583333333333336,71.95,80.84166666666667,95.71666666666667
43,23.516666666666666,95.7,60.35,61.68333333333333,66.83333333333334,43.46666666666667,41.43333333333333,57.38333333333334,89.76666666666667,93.05
44,23.033333333333335,97.6,62.15,68.76666666666667,66.55833333333334,45.6,45.11666666666667,66.6,80.16666666666666,85.38333333333334
45,23.516666666666666,99.5,54.166666666666664,76.43333333333334,68.075,54.7,44.083333333333336,68.9,86.275,83.25
46,26.033333333333335,95.88333333333334,54.68333333333333,68.2,71.68333333333334,42.45,47.38333333333333,67.79166666666666,85.75833333333333,86.25
47,21.933333333333334,86.26666666666667,57.35,77.88333333333334,68.26666666666667,41.6,38.88333333333333,65.19999999999999,80.93333333333334,93.6
48,24.033333333333335,91.9,54.55,70.71666666666667,66.99166666666667,44.05,37.3,71.93333333333334,84.15833333333333,93.43333333333334
49,23.5,98.2,56.81666666666667,72.66666666666667,70.35,47.766666666666666,40.75,69.26666666666667,85.68333333333334,96.35
50,22.55,105.91666666666667,55.3,73.85,67.91666666666667,46.53333333333333,44.1,71.06666666666666,90.925,83.68333333333334
51,22.016666666666666,91.96666666666667,59.266666666666666,67.15,65.26666666666667,45.56666666666667,41.583333333333336,66.34166666666667,83.4,97.58333333333333
52,20.05,98.93333333333334,58.2,63.11666666666667,66.80833333333334,49.15,46.083333333333336,69.375,81.38333333333333,86.03333333333333
53,22.516666666666666,92.41666666666667,57.516666666666666,72.53333333333333,68.49166666666666,39.46666666666667,39.266666666666666,69.03333333333333,84.05,86.35
54,25.016666666666666,98.45,55.75,63.46666666666667,67.1,45.45,43.61666666666667,66.575,82.38333333333333,80.18333333333334
55,22.516666666666666,89.7,53.88333333333333,77.03333333333333,66.90833333333333,46.93333333333333,47.61666666666667,69.64166666666667,86.39166666666667,93.93333333333334
56,24.016666666666666,86.2,55.983333333333334,67.56666666666666,65.71666666666667,46.68333333333333,44.516666666666666,65.01666666666667,82.96666666666667,85.18333333333334
