actualTravelTimeMin,benchmarkTravelTime,delay,CR-Fairmount,CR-Fitchburg,CR-Franklin,CR-Greenbush,CR-Haverhill,CR-Kingston,CR-Lowell,CR-Middleborough,CR-Needham,CR-Newburyport,CR-Providence,CR-Worcester,North Station,South Station,weekday,hour,month,morning,evening,weekend,rush_hour,holiday,delay_label
25.53333333,25.0,0.533333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,19,1,0,1,1,1,0,1
24.95,25.0,-0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,1,0,1,1,0,0,0
25.23333333,25.0,0.233333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,21,1,0,1,1,0,0,1
27.3,30.0,-2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1,0,0,0,0,0
27.58333333,30.0,-2.416666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,1,0,0,0,0,0
27.36666667,30.0,-2.633333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,1,0,0,1,0,0
24.15,30.0,-5.85,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,1,0,0,1,0,0
24.61666667,30.0,-5.3833333329999995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,0,0,1,0,0
27.31666667,30.0,-2.683333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,1,0,0,0,0,0
24.16666667,30.0,-5.833333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,1,0,0,0,0,0
27.41666667,30.0,-2.583333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,0,0,0,0,0
31.25,30.0,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,0,1,0,1,0,1
29.26666667,30.0,-0.7333333329999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,0,1,0,1,0,0
29.18333333,30.0,-0.816666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,1,0,1,0,1,0,0
26.76666667,30.0,-3.233333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,0,1,0,1,0,0
28.18333333,30.0,-1.8166666669999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,1,0,1,0,0,0,0
28.7,30.0,-1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,1,0,1,0,0,0,0
28.36666667,30.0,-1.6333333330000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,0,0,0,0
29.6,30.0,-0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,1,0,0,0,0,0
27.05,30.0,-2.95,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,1,0,0,1,0,0
26.91666667,30.0,-3.083333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,1,0,0,1,0,0
28.31666667,30.0,-1.6833333330000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,1,0,0,0,0,0
26.46666667,30.0,-3.5333333330000003,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,1,1,0,0,0,0,0
28.16666667,30.0,-1.8333333330000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,1,0,0,0,0,0,0
28.86666667,30.0,-1.133333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,1,0,0,0,0,0,0
28.71666667,30.0,-1.283333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,1,0,0,0,0,0,0
29.73333333,30.0,-0.26666666699999997,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,1,0,1,0,1,0,0
31.9,30.0,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,1,0,1,0,1,0,1
28.33333333,30.0,-1.6666666669999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,1,0,1,0,1,0,0
28.26666667,30.0,-1.733333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,1,0,1,0,0,0,0
28.55,30.0,-1.45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,1,0,1,0,0,0,0
28.4,30.0,-1.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,1,0,0,0,0,0
26.4,30.0,-3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,1,1,0,0,1,0,0
28.36666667,30.0,-1.6333333330000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,1,1,0,0,1,0,0
25.43333333,30.0,-4.566666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,1,1,0,0,0,0,0
27.63333333,30.0,-2.366666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,1,0,0,0,0,0,0
28.45,30.0,-1.55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,1,0,0,0,0,0,0
30.55,30.0,0.55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,17,1,0,1,0,1,0,1
32.68333333,30.0,2.683333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,18,1,0,1,0,1,0,1
28.9,30.0,-1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,1,0,1,0,0,0,0
29.78333333,30.0,-0.21666666699999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,21,1,0,1,0,0,0,0
29.6,30.0,-0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,1,1,0,0,0,0,0
27.86666667,30.0,-2.133333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,1,1,0,0,0,0,0
28.25,30.0,-1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,1,1,0,0,1,0,0
24.98333333,30.0,-5.016666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,1,1,0,0,1,0,0
27.63333333,30.0,-2.366666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,1,1,0,0,1,0,0
28.0,30.0,-2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,1,1,0,0,0,0,0
28.08333333,30.0,-1.9166666669999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,1,1,0,0,0,0,0
28.26666667,30.0,-1.733333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,1,0,0,0,0,0,0
28.78333333,30.0,-1.216666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,17,1,0,1,0,1,0,0
28.93333333,30.0,-1.066666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,18,1,0,1,0,1,0,0
28.0,30.0,-2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,19,1,0,1,0,1,0,0
28.31666667,30.0,-1.6833333330000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,20,1,0,1,0,0,0,0
29.91666667,30.0,-0.083333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,21,1,0,1,0,0,0,0
28.58333333,30.0,-1.4166666669999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,1,1,0,0,0,0,0
29.18333333,30.0,-0.816666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,1,1,0,0,0,0,0
28.9,30.0,-1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,1,1,0,0,1,0,0
28.41666667,30.0,-1.5833333330000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,1,1,0,0,0,0,0
28.48333333,30.0,-1.516666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,1,1,0,0,0,0,0
29.36666667,30.0,-0.6333333329999999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,12,1,0,0,0,0,0,0
27.13333333,30.0,-2.866666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,1,0,0,0,0,0,0
26.66666667,30.0,-3.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,16,1,0,0,0,0,0,0
29.21666667,30.0,-0.783333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,17,1,0,1,0,1,0,0
30.31666667,30.0,0.316666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,18,1,0,1,0,1,0,1
29.1,30.0,-0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,19,1,0,1,0,1,0,0
28.95,30.0,-1.05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,20,1,0,1,0,0,0,0
28.25,30.0,-1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,21,1,0,1,0,0,0,0
25.91666667,25.0,0.916666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,1,1,0,1,0,0,1
28.7,25.0,3.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,1,1,0,1,1,0,1
25.18333333,25.0,0.18333333300000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,13,1,0,0,1,0,0,1
25.0,25.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,17,1,0,1,1,1,0,0
23.6,25.0,-1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,19,1,0,1,1,1,0,0
23.73333333,25.0,-1.266666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,21,1,0,1,1,0,0,0
26.08333333,25.0,1.083333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,1,1,0,1,0,0,1
21.91666667,25.0,-3.083333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,1,1,0,1,1,0,0
24.61666667,25.0,-0.38333333299999994,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,1,1,0,1,1,0,0
25.48333333,25.0,0.483333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,1,1,0,1,0,0,1
25.23333333,25.0,0.233333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,1,1,0,1,0,0,1
24.23333333,25.0,-0.7666666670000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,12,1,0,0,1,0,0,0
23.46666667,25.0,-1.533333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,13,1,0,0,1,0,0,0
